htid,htid_old,first_publication,rights,ht_bib_key,description,source,source_bib_num,oclc_num,lccn,title,imprint,rights_date_used,author,bib_fmt,oclc_number_earliest,collection_code,content_provider_code,responsible_entity_code,digitization_agent_code,access_profile_code,rights_reason_code,,pub_place,random
uc2.ark:/13960/t4kk9703s,uc2.ark+=13960=t4kk9703s,1899,pdus,235638,,UC,1976735,5159808,,"Among English hedgerows, written and illustrated by Clifton Johnson; with an introduction by Hamilton W. Mabie.","The Macmillan company; Macmillan and co., limited, 1912.",1912,"Johnson, Clifton, 1865-1940.",BK,419001,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,enk,0.3440472246
uc2.ark:/13960/t1td9pr9j,uc2.ark+=13960=t1td9pr9j,1910,pd,4764333,,UC,718773,10342997,,"The torch of reason; or, Humanity's god.","The Torch of Reason, publishers, 1912.",1912,"[Berry, Frederick Forrest]",BK,10342997,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.5705639901
uc2.ark:/13960/t26971n59,uc2.ark+=13960=t26971n59,1911,pd,326537,,UC,1324743,11150769,,Trying out Torchy. Illus. by Foster Lincoln.,"Grosset & Dunlap, [c1912]",1912,"Ford, Sewell, 1868-1946.",BK,11150769,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,mau,0.3008119596
uc2.ark:/13960/t9h41k936,uc2.ark+=13960=t9h41k936,1911,pd,7649485,,UC,292312,2160233,12008802,"The second deluge, by Garrett P. Serviss, illustrated by George Varian.","McBride, Nast, 1912.",1912,"Serviss, Garrett Putman, 1851-1929.",BK,2160233,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.6866489268
uc2.ark:/13960/t7cr5q352,uc2.ark+=13960=t7cr5q352,1912,pdus,5943901,,UC,687919,1698270,13001827,"Old Irish life, by J.M. Callwell.","W. Blackwood, 1912.",1912,"Callwell, J. M.",BK,1698270,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.9328166268
uc2.ark:/13960/t3rv0g560,uc2.ark+=13960=t3rv0g560,1761,pdus,6589367,,UC,"b155565151,GLAD168115145-B",3237980,24011851,"The adventures of Gil Blas of Santillane, translated from the French of Lesage, by Tobias Smollett; with an introd. by William Morton Fullerton.",Routledge; Dutton [1913],1913,"Le Sage, Alain René, 1668-1747.",BK,1096625784,INRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.1984641633
uc2.ark:/13960/t44q7tr4r,uc2.ark+=13960=t44q7tr4r,1822,pdus,7659924,,UC,1493728,1280755,,The provost / by John Galt ; illustrated in colour by John M. Aiken.,"T. N. Foulis, 1913.",1913,"Galt, John, 1779-1839.",BK,187703205,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,mau,0.9633728212
uc2.ark:/13960/t8jd4v169,uc2.ark+=13960=t8jd4v169,1888,pd,7694508,,UC,4083486,327041,,An Iceland fisherman / by Pierre Loti [i.e. J. Viaud] ; translated from the French by Anna Farwell De Koven.,"A.C. McClurg, 1913, c1889.",1913,"Loti, Pierre, 1850-1923.",BK,2776891,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,inu,0.5664848941
uc2.ark:/13960/t3kw59b2x,uc2.ark+=13960=t3kw59b2x,1911,pd,7657466,,UC,1190323,9909427,13026687,Horacio : a tale of Brazil / by R. W. Fenn.,"American Tract Society, 1913.",1913,"Fenn, R. W. 1867-",BK,11833168,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,pau,0.8163820605
uc2.ark:/13960/t3hx17h31,uc2.ark+=13960=t3hx17h31,1912,pd,7672321,,UC,3017374,37139543,,The turn of the sword / by C. Maclean Savage ; with frontispiece in colors and decorations by the Kinneys.,"F.G. Browne, 1913.",1913,"Savage, C. Maclean.",BK,37139543,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,inu,0.004320114911
uc2.ark:/13960/t03x84h4c,uc2.ark+=13960=t03x84h4c,1913,pd,326627,,UC,"b104956598,GLAD67171222-B,b170092434",332511,13004614,"The heart of the hills, by John Fox, jr.; illustrated by F. C. Yohn.","C. Scribner's sons, 1913.",1913,"Fox, John, Jr., 1862-1919.",BK,332511,INRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.3668628569
uc2.ark:/13960/t3ws8jw8s,uc2.ark+=13960=t3ws8jw8s,1877,pd,7670635,,UC,2786239,320150772,,Marie : a story of Russian love / from the Russian of Alexander Pushkin ; by Marie H. de Zielinska.,"A.C. McClurg & Co., 1914.",1914,"Pushkin, Aleksandr Sergeevich, 1799-1837.",BK,2153857,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.2636991789
uc2.ark:/13960/t6ww78j13,uc2.ark+=13960=t6ww78j13,1888,pd,7674160,,UC,3248451,320182401,,The black arrow : a tale of two roses / by Robert Louis Stevenson ; illustrated.,"C. Scribner, 1914.",1914,"Stevenson, Robert Louis, 1850-1894.",BK,493609,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.1721914204
uc2.ark:/13960/t79s1mg2h,uc2.ark+=13960=t79s1mg2h,1897,pd,7662232,,UC,1745431,11191059,,"Bye-ways, by Robert S. Hichens ...","Dodd, Mead and Company, 1914.",1914,"Hichens, Robert Smythe, 1864-1950.",BK,5417748,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,mau,0.3958741568
uc2.ark:/13960/fk22b8vh0p,uc2.ark+=13960=fk22b8vh0p,1914,pd,560442,,UC,"b121065765,GLAD293357-B",2483625,14014941,"Myths and legends of the Mississippi Valley and the Great Lakes, selected and ed. by Katharine B. Judson ...","A.C. McClurg & Co., 1914.",1914,"Judson, Katharine Berry.",BK,2483625,INRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,inu,0.2624527057
uc2.ark:/13960/t4cn71j22,uc2.ark+=13960=t4cn71j22,1914,pd,630994,,UC,2111241,6510885,14020115,Landmarks / by E.V. Lucas.,"Methuen, 1914.",1914,"Lucas, E. V. 1868-1938.",BK,6510885,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,add,,enk,0.2579620566
uiuo.ark:/13960/t05x2849v,uiuo.ark+=13960=t05x2849v,1914,pd,1061187,,UIU,44546,321582,14030873,"Reminiscences of Tolstoy, by his son Count Ilya Tolstoy, tr. by George Calderon.","Century Co., 1914.",1914,"Tolstoĭ, Ilʹi︠a︡ Lʹvovich, graf, 1866-1933.",BK,321582,IUIUC,illinois,illinois,ia,open,bib,,xx ,0.8777479733
uc2.ark:/13960/t9r20t302,uc2.ark+=13960=t9r20t302,1888,pd,481184,,UC,b104803149,5291892,,The reverberator / by Henry James.,"Martin Secker, 1915.",1915,"James, Henry, 1843-1916.",BK,1161767,INRLF,universityofcalifornia,universityofcalifornia,ia,open,add,,enk,0.04495185067
loc.ark:/13960/t5j96h796,loc.ark+=13960=t5j96h796,1908,pd,9575684,,LOC,8708285,8890393,15021816,"The true life story of Swiftwater Bill Gates, by his mother-in-law, Mrs. Iola Bebbe [!]","Lumbermans Printing Company, c1915]",1915,"Beebe, Iola.",BK,18720506,ILOC,loc,loc,ia,open,bib,,xx ,0.7638833708
loc.ark:/13960/t9x06mc9n,loc.ark+=13960=t9x06mc9n,1910,pd,9596427,,LOC,9176208,,15017060,"Nelson's legacy. Lady Hamilton: her story & tragedy,",C. Scribner's sons [1915],1915,"[Frankau, Julia], 1864-1916.",BK,1693118,ILOC,loc,loc,ia,open,bib,,xx ,0.6111023091
uc2.ark:/13960/t8qb9zg7m,uc2.ark+=13960=t8qb9zg7m,1915,pd,1268225,v.02,UC,1425734,1549270,15013572,"The founding of a nation : the story of the Pilgrim fathers, their voyage on the Mayflower, their early struggles, hardships and dangers, and the beginnings of American democracy, as told in the journals of Francis Beaumont, cavalier / by Frank M. Gregg...","The Arthur H. Clark company, 1915.",1915,"Gregg, Frank M. 1864-1937",BK,1549270,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.8787196091
yale.39002009581225,yale.39002009581225,1915,pd,1268225,,YALE,5563853,1549270,15013572,"The founding of a nation : the story of the Pilgrim fathers, their voyage on the Mayflower, their early struggles, hardships and dangers, and the beginnings of American democracy, as told in the journals of Francis Beaumont, cavalier / by Frank M. Gregg...","The Arthur H. Clark company, 1915.",1915,"Gregg, Frank M. 1864-1937",BK,1549270,YALE,yale,yale,yale,open,bib,,nyu,0.6464110538
uc2.ark:/13960/t27941w82,uc2.ark+=13960=t27941w82,1915,pd,6131699,,UC,b13829172x,1161070,15018820,"Mr. Bingle, by George Barr McCutcheon ... with illustrations by James Montgomery Flagg.","Dodd, Mead and Company, 1915.",1915,"McCutcheon, George Barr, 1866-1928.",BK,1161070,INRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.01067551531
loc.ark:/13960/t6348xr76,loc.ark+=13960=t6348xr76,1913,pd,9589449,,LOC,8241802,,16009797,"Philip of Texas; a story of sheep raising in Texas,",American book company [c1916],1916,"Otis, James, 1848-1912.",BK,2622398,ILOC,loc,loc,ia,open,bib,,nyu,0.9890665312
uc2.ark:/13960/t9959jk0f,uc2.ark+=13960=t9959jk0f,1915,pd,430689,,UC,70081,604386,16022855,"The lion's share, by Arnold Bennett ...","George H. Doran Company, [c1916]",1916,"Bennett, Arnold, 1867-1931.",BK,604386,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,inu,0.9474398532
uc2.ark:/13960/t7cr5p059,uc2.ark+=13960=t7cr5p059,1916,pdus,246545,,UC,2435351969275,9665999,unk83016933,Those about Trench.,"Macmillan, 1916.",1916,"Lewis, Edwin Herbert, 1866-1938.",BK,9665999,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,ohu,0.4587057519
uc2.ark:/13960/t0vq2tv34,uc2.ark+=13960=t0vq2tv34,1916,pd,437878,,UC,1610076,1020527,16018028,"Love and Lucy, by Maurice Hewlett ...","Dodd, Mead and Company, 1916.",1916,"Hewlett, Maurice Henry, 1861-1923.",BK,1020527,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,xx ,0.1439301776
yale.39002085578111,yale.39002085578111,1916,pd,1271637,,YALE,1939836,1053783,16023799,"The last voyage of the Karluk, flagship of Vilhjalmar Stefansson's Canadian Arctic expedition of 1913-16, as related by her master, Robert A. Bartlett, and here set down by Ralph T. Hale.","Small, Maynard and co. [c1916]",1916,"Bartlett, Bob, 1875-1946.",BK,1053783,YALE,yale,yale,yale,open,bib,,enk,0.1776710365
uc2.ark:/13960/t13n23b6x,uc2.ark+=13960=t13n23b6x,1916,pd,1277003,,UC,"b121252139,GLAD317308-B",635585,16022947,Philippine folk tales.,"A. C. McClurg & co., 1916.",1916,"Cole, Mabel Cook, -approximately 1978.",BK,635585,INRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.3245238184
uc2.ark:/13960/t22b8vm6r,uc2.ark+=13960=t22b8vm6r,1891,pd,7679234,,UC,4033256,4797613,,"Gallegher, and other stories, with an introduction by E. L. Burlingame.","C. Scribner's sons, 1917, c1916.",1917,"Davis, Richard Harding, 1864-1916.",BK,40317744,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.07692206641
uc2.ark:/13960/t3tt4p68p,uc2.ark+=13960=t3tt4p68p,1913,pdus,7695538,,UC,4500136,364118212,,The debit account. -,"Nisbet, 1917.",1917,"Onions, Oliver, 1873-1961.",BK,2699754,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,add,,inu,0.9475576572
uc2.ark:/13960/t6n01c29h,uc2.ark+=13960=t6n01c29h,1916,pd,667011,,UC,905783,4774404,17012955,"The shadow line; a confession, by Joseph Conrad ...","Doubleday, Page & Company, 1917.",1917,"Conrad, Joseph, 1857-1924.",BK,4774404,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,ilu,0.02302483211
mdp.39015063936622,mdp.39015063936622,1917,pd,242297,,MIU,9.90002E+17,13103024,17017081,"Outposts of the fleet; stories of the merchant service in war and peace, by Edward Noble.","Houghton Mifflin company, 1917.",1917,"Noble, Edward.",BK,13103024,MIU,umich,umich,lit-dlps-dc,open,bib,,ilu,0.412515282
loc.ark:/13960/t2f775w81,loc.ark+=13960=t2f775w81,1917,pdus,486509,,LOC,6372601,3704399,17024525,"A green tent in Flanders, by Maud Mortimer, illustrated by the author.","Doubleday, Page & company, 1917.",1917,"Mortimer, Maud.",BK,3704399,ILOC,loc,loc,ia,open,bib,,ilu,0.1059184185
uc2.ark:/13960/t3cz35275,uc2.ark+=13960=t3cz35275,1917,pd,785166,,UC,3559732,3013158,,"The green mirror; a quiet story, by Hugh Walpole.",Grosset & Dunlap [c1917],1917,"Walpole, Hugh, 1884-1941.",BK,3013158,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.6609720767
loc.ark:/13960/t6tx4112j,loc.ark+=13960=t6tx4112j,1917,pd,5876656,,LOC,7310959,1905289,18009439,"""Nothing of importance,"" eight months at the front with a Welsh battalion, by Bernard Adams.","R. M. McBride & company, 1918.",1918,"Adams, John Bernard Pye, 1890-1917.",BK,1905289,ILOC,loc,loc,ia,open,bib,,nyu,0.1697932744
uc2.ark:/13960/t2s46hc65,uc2.ark+=13960=t2s46hc65,1917,pd,7657622,,UC,1215477,11050113,18019981,The house of Torchy / by Sewell Ford ; illustrations by Arthur William Brown.,"Edward J. Clode, [c1918]",1918,"Ford, Sewell, 1868-1946.",BK,4891752,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,xx ,0.635676463
uc2.ark:/13960/t3125wn18,uc2.ark+=13960=t3125wn18,1917,pd,8298644,,UC,b154690533,2666823,18011072,"Tenting to-night; a chronicle of sport and adventure in Glacier park and the Cascade mountains, by Mary Roberts Rinehart.","Houghton Mifflin company, 1918.",1918,"Rinehart, Mary Roberts, 1876-1958.",BK,2666823,INRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,mau,0.1262822067
uc2.ark:/13960/t6057f54c,uc2.ark+=13960=t6057f54c,1918,pd,203858,,UC,"b124721540,GLAD17149149-B",2407427,18026401,Atlantic narratives; modern short stories; ed. with an introduction by Charles Swain Thomas ...,The Atlantic Monthly Press [1918],1918,,BK,2407427,INRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.4188547058
uc2.ark:/13960/t6833r49b,uc2.ark+=13960=t6833r49b,1918,pd,427621,,UC,576487,363066,18008985,"The pretty lady, by Arnold Bennett ...","George H. Doran Company, [c1918]",1918,"Bennett, Arnold, 1867-1931.",BK,363066,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.008881667328
uc2.ark:/13960/t8mc8wj3s,uc2.ark+=13960=t8mc8wj3s,1918,pd,447186,,UC,199620,1382881,18012009,"Front lines, by Boyd Cable [pseud.]","J. Murray, 1918.",1918,"Ewart, Ernest Andrew, 1878-",BK,1382881,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,add,,nyu,0.1501632055
nc01.ark:/13960/t53f5v60h,nc01.ark+=13960=t53f5v60h,1871,pd,1031540,,UNC,b7004943,1413723,19018605//r,At the back of the North Wind / by George Macdonald ; illustrated by Jessie Willcox Smith.,"D. McKay, c1919.",1919,"MacDonald, George, 1824-1905.",BK,925537,IUNC,unc,unc,ia,open,bib,,dcu,0.3968766404
uc2.ark:/13960/t4hm53237,uc2.ark+=13960=t4hm53237,1877,pd,7676438,,UC,3564775,10096977,,"Being a boy, by Charles Dudley Warner ... illustrated by ""Champ"".","Houghton, Mifflin and Company, [c1919]",1919,"Warner, Charles Dudley, 1829-1900.",BK,11683101,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.03378355436
uc2.ark:/13960/t8df6sp6v,uc2.ark+=13960=t8df6sp6v,1884,pd,7695316,,UC,4479441,849974,,The idyll of the white lotus / by Mabel Collins.,"Theosophical Pub. Soc., 1919.",1919,"Collins, Mabel, 1851-1927.",BK,4804140,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,add,,ii ,0.6596430398
uc2.ark:/13960/t79s1sv30,uc2.ark+=13960=t79s1sv30,1892,pdus,7690253,,UC,2245115,14395578,,The marriage of Loti (Rarahu) by Pierre Loti [pseud.] Translated by Clara Bell.,"Laurie, [191-?]",1919,"Loti, Pierre, 1850-1923.",BK,14395578,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.1807454181
uc2.ark:/13960/t6tx37x1t,uc2.ark+=13960=t6tx37x1t,1909,pd,6497827,,UC,"b124965702,GLAD17182541-B",996712,a  20000227,"The street of adventure, by Philip Gibbs.",E. P. Dutton & company [1919],1919,"Gibbs, Philip, 1877-1962.",BK,6804893,INRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,enk,0.6501699423
uc2.ark:/13960/t75t3hc4r,uc2.ark+=13960=t75t3hc4r,1914,pdus,437298,,UC,"b130998515,GLAD50367239-B",2191944,,Fantastics and other fancies / by Lafcadio Hearn ; edited by Charles Woodward Hutson.,"Houghton Mifflin company, 1919.",1919,"Hearn, Lafcadio, 1850-1904.",BK,39469390,INRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,uk ,0.4334177798
uc2.ark:/13960/t6n010v0x,uc2.ark+=13960=t6n010v0x,1880,pdus,9261123,,UC,b104946052,1679670,20019432,"Uncle Remus, his songs and his sayings, by Joel Chandler Harris; with an introduction by Thomas Nelson Page, and illustrations by A. B. Frost and E. W. Kemble.","D. Appleton and company, 1920.",1920,"Harris, Joel Chandler, 1848-1908.",BK,1000778,INRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.3199954738
nc01.ark:/13960/t9281fb0w,nc01.ark+=13960=t9281fb0w,1889,pd,12193797,,UNC,b7067371,781143627,,The blue fairy book / edited by Andrew Lang ; with coloured frontispiece and numerous other illustrations by H.J. Ford and G.P. Jacomb Hood.,"Longmans, Green and Co., c1920.",1920,,BK,2986888,IUNC,unc,unc,ia,open,bib,,nyu,0.9045719704
uc2.ark:/13960/t2k64c74t,uc2.ark+=13960=t2k64c74t,1913,pd,158027,,UC,2180619,6594374,20026313,"Sheila intervenes, by Stephen McKenna ...","George H. Doran Company, [1920]",1920,"McKenna, Stephen, 1888-",BK,9953552,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.77539214
uc2.ark:/13960/t6c24r785,uc2.ark+=13960=t6c24r785,1913,pd,7682702,,UC,4109606,3534173,,Bransford of Rainbow Range / by Eugene Manlove Rhodes ; frontispiece by Harvey T. Dunn.,"Grosset & Dunlap, [1920]",1920,"Rhodes, Eugene Manlove, 1869-1934.",BK,10343725,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.9175147708
uc2.ark:/13960/t89g5kb8w,uc2.ark+=13960=t89g5kb8w,1915,pdus,7683634,,UC,4338644,2217604,,The nameless island / By Percy F. Westerman.,"C. Arthur Pearson ltd., 1920.",1920,"Westerman, Percy Francis, 1876-",BK,156477486,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,add,,nyu,0.5143029914
uc2.ark:/13960/t4hm54d91,uc2.ark+=13960=t4hm54d91,1917,pd,7666634,,UC,2279046,29086177,,A chaste man / Louis Wilkinson.,"Knopf, 1920, c1917.",1920,"Marlow, Louis, 1881-1966.",BK,7874593,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.7820676898
,,,,,,,,,,,,,,,,,,,,,,,,
mdp.39015008007067,,1921,,,,,1786279,1845529,,"The hidden force; | a story of modern Java, | $c: by Louis Couperus, tr. by Alexander Teixeira de Mattos.","New York|Dodd, Mead and company|1921.",1921,"Couperus, Louis,",Fiction,1845529,,,,,,,,nyu,
mdp.39015010213794,,1893,,,,,663580,12202747,,"Diana Tempest, | $c: by Mary Cholmondeley.",London|Macmillan and co.|1921.,1921,"Cholmondeley, Mary.",Fiction,11787804,,,,,,,,enk,
uiug.30112041392207,,1921,,,,,7688847,1080341,,The writings of Ian Hay [pseud.].,Boston and New York|Houghton Mifflin company|1921-,0,"Hay, Ian.",NotFiction|NotBiographical,1080341,,,,,,,,xx#,
uiug.30112041392199,,1921,,,,,7688847,1080341,,The writings of Ian Hay [pseud.].,Boston and New York|Houghton Mifflin company|1921-,0,"Hay, Ian.",NotFiction|NotBiographical,1080341,,,,,,,,xx#,
uiug.30112041392322,,1921,,,,,7688847,1080341,,The writings of Ian Hay [pseud.].,Boston and New York|Houghton Mifflin company|1921-,0,"Hay, Ian.",NotFiction|NotBiographical,1080341,,,,,,,,xx#,
uiug.30112041392215,,1921,,,,,7688847,1080341,,The writings of Ian Hay [pseud.].,Boston and New York|Houghton Mifflin company|1921-,0,"Hay, Ian.",NotFiction|NotBiographical,1080341,,,,,,,,xx#,
mdp.39015092870982,,1896,,,,,306533,66268094,,[Works].,London|W. Hienemann|1922-,0,"Beerbohm, Max, Sir,",Fiction,925153,,,,,,,,enk,
uc2.ark:/13960/t0000c69c,,1890,,,,,6272269,4440762,,The White company. | Pictures by N.C. Wyeth.,"New York|McKay|c1922,1961?",0,"Doyle, Arthur Conan, Sir,",NotFiction,233681231,,,,,,,,xx ,
nyp.33433076014863,,1918,,,,,8690762,37048985,1918-1932,The works of Booth Tarkington ...,"New York|Doubleday, Page & Co.|1922-",0,"Tarkington, Booth,",NotFiction,12739332,,,,,,,,nyu,
uiug.30112081774983,,1922,,,,,100657099,187474464,,The Winston companion readers ... / | $c: by Ethel H. Maltby and Sidney G. Firman ; illustrated by Frederick Richardson.,Philadelphia|John C. Winston Company|c1922-,0,"Gehres, Ethel Maltby,",NotFiction,187474464,,,,,,,,pau,
uc2.ark:/13960/t4zg6jh3g,,1921,,,,,1964432,3916103,,Through the shadows with O. Henry / | $c: by Al. Jennings.,London|Duckworth & Co.|1922,1922,"Jennings, Al,",NotFiction,5856733,,,,,,,,enk,
wu.89099437477,,1908,,,,,8364784,13776430,,The works of Anatole France in an English translation / | $c: edited by Frederic Chapman.,"London|J. Lane, The Bodley Head|New York|Dodd, Mead|1922-",0,"France, Anatole,",NotFiction,499689090,,,,,,,,enk,
osu.32435050524446,,1923,,,,,100824336,33469893,,The romance of a rogue / | $c: by Ruby M. Ayres.,New York|Grosset & Dunlap|c1923.,1923,"Ayres, Ruby M. (Ruby Mildred),",NotFiction,33469893,,,,,,,,nyu,
uiuo.ark:/13960/t8cf9nn2n,,1923,,,,,7104529,1042704,,The mother. | $c: Translated from the Italian by Mary G. Steegmann.,New York|Macmillan|1923.,1923,"Deledda, Grazia,",Fiction,1042704,,,,,,,,nyu,
uc1.$b322997,,1909,,,,,6548061,30266207,,"A man's man, | $c: by Ian Hay [pseud.]",Edinburgh|London|W. Blackwood and Sons|1923.,1923,"Hay, Ian.",NotFiction,10417102,,,,,,,,stk,
uc1.$b85950,,1923,,,,,427323,734251,,Riceyman Steps.,New York|G.H. Doran Co.|c1923,1923,"Bennett, Arnold,",NotFiction,1153712224,,,,,,,,nyu,
mdp.39015059407588,,1923,,,,,115420,1987005,,"The imperturbable duchess, | and other stories, | $c: by J. D. Beresford.","London [etc.|W. Collins, sons & co., ltd.|1923",1923,"Beresford, J. D. (John Davys),",Fiction,1987005,,,,,,,,enk,
uc1.$b307410,,1923,,,,,6538155,1188923,,"The thing at their heels, | $c: by Harrington Hext [pseud.] ...",New York|The Macmillan Co.|1923.,1923,"Phillpotts, Eden,",Fiction,1188923,,,,,,,,nyu,
uc1.b3810865,,1924,,,,,587900,962241,,"Blind Raftery and his wife, Hilaria, | $c: by Donn Byrne ... illustrated by John Richard Flanagan.",New York|London|The Century Co.|c1924,1924,"Byrne, Donn,",Fiction,1072215013,,,,,,,,nyu,
mdp.39015019350605,,1909,,,,,392089,716140,,"Villette, | by Charlotte Brontë.",Edingburgh|J. Grant|1924.,1924,"Bronte, Charlotte,",Fiction,358840,,,,,,,,stk,
uc1.$b249101,,1903,,,,,6501806,1926718,,"Helen Adair, | $c: by Louis Becke.",Philadelphia|J. B. Lippincott company|1924,1924,"Becke, Louis,",Fiction,4356866,,,,,,,,pau,
mdp.39015015389524,,1924,,,,,1442501,681821,,"Buddenbrooks, | $c: translated from the German of Thomas Mann, by H.T. Lowe-Porter ...",New York|A.A. Knopf|1924.,1924,"Mann, Thomas,",Fiction,681821,,,,,,,,nyu,
uc1.$b312398,,1924,,,,,8009987,123142655,,"Proud flesh, | $c: by Lawrence Rising",New York|Boni and Liveright|c1924,1924,"Rising, Lawrence",UnknownGenre,3881321,,,,,,,,nyu,
uc1.$b299111,,1924,,,,,6532795,30118378,,Romance and Jane Weston.,London|W. Collins|c1924,1924,"Pryce, Richard,",NotFiction,30118378,,,,,,,,enk,
mdp.39015063918554,,1925,,,,,167796,6946072,,"Mrs. Mason's daughters, | $c: by Mathilde Eiker.",New York|The Macmillan company|1925.,1925,"Eiker, Mathilde,",Fiction,6946072,,,,,,,,nyu,
mdp.39076002365158,,1925,,,,,9927320,4820224,,Quinby and son / | $c: by William Heyliger.,New York|Appleton|c1925.,1925,"Heyliger, William,",Fiction,4820224,,,,,,,,nyu,
uc1.$b602247,,1925,,,,,1059316,892124,,Selected Russian short stories / | $c: chosen and translated by A.E.Chamot.,"London ; New York etc.|H. Milford, Oxford university press|c1925, 1928 printing.",1928,"(Alfred Edward), Chamot, A. E.",NotFiction,892124,,,,,,,,enk,
inu.32000009261480,,1921,,,,,6059539,10140035,,Complete works / | $c: Joseph Conrad.,"Garden City, N.Y.|Doubleday, Page & Co.|1925.",1925,"Conrad, Joseph,",Fiction,65758686,,,,,,,,nyu,
uc1.$b300962,,1925,,,,,6534107,30108426,,"The naked man, | $c: by Vere Hutchinson ...",London|J. Cape limited|1925,1925,"Hutchinson, Vere.",NotFiction,30108426,,,,,,,,enk,
mdp.39015013962207,,1925,,,,,265891,297396,,Mrs. Dalloway | $c: [by Virginia Woolf],"New York|Harcourt, Brace|1925.",1925,"Woolf, Virginia,",Fiction,297396,,,,,,,,nyu,
uc1.$b242787,,1926,,,,,6497689,1130921,,"The splendid shilling; | a novel, | $c: by Idwal Jones.","Garden City, N.Y.|Doubleday, Page & company|1926.",1926,"Jones, Idwal,",UnknownGenre,1130921,,,,,,,,nyu,
mdp.39015065647045,,1926,,,,,980913,1918726,,"The ninth Thermidor, | $c: translated from the Russian by A. E. Chamot.",New York|A. A. Knopf|1926.,1926,"Aldanov, Mark Aleksandrovich,",Fiction,1918726,,,,,,,,nyu,
uc1.$b99279,,1926,,,,,6600169,3504919,,"Isles of Greece, | $c: by Anthony Dell, with a map and illustrations from photographs by the author and M. Roger Dell.",N. Y.|Stokes|1926,1926,"Dell, Anthony.",NotFiction,3504919,,,,,,,,xx ,
mdp.39076006602408,,1926,,,,,9916278,6980803,,The novels of Henry Fielding.,Boston|Houghton Mifflin|1926.,1926,"Fielding, Henry,",Fiction,6980803,,,,,,,,mau,
uc1.$b244182,,1926,,,,,244945,289902,,"Her son's wife, | by Dorothy Canfield.","New York|Harcourt, Brace and Company|c1926",1926,"Fisher, Dorothy Canfield,",Fiction,289902,,,,,,,,nyu,
uc1.$b322707,,1926,,,,,8010120,21697727,,"Goodbye, stranger / | y Stella Benson.",New York|Macmillan|1926.,1926,"Benson, Stella,",NotFiction,21697727,,,,,,,,nyu,
mdp.39015005392926,,1927,,,,,1200285,6534234,,Denied a country / | $c: by Herman Bang ; translated from the Danish by Marie Busch and A.G. Chater.,London|A.A. Knopf|1927.,1927,"Bang, Herman,",Fiction,6534234,,,,,,,,enk,
