htid,inferreddate,title,author,nationality,imprint
mdp.39015005085371,1921,Three soldiers / | $c: introduction by John Dos Passos.,"Dos Passos, John,",nyu,New York|Modern Library|c1932
mdp.39015048712163,1985,"Virginia Dare : stories, 1976-1981","Dawson, Fielding",us,Santa Barbara|Black Sparr
mdp.39015032354972,1994,Solitary places / | $c: Joan Vannorsdall Schroeder.,"Schroeder, Joan V.,",nyu,New York|Putnam's|c1994.
uc1.32106018627064,1998,Give us a kiss : a country noir,"Woodrell, Daniel",us,New York|Pocket Books|199
nnc1.1002173220,1905,The waybackers,"Cone, Joe",us,Boston;The Colonial press
wu.89100334630,1940,Ember lane: a winter's tale,"Kaye-Smith, Sheila",uk,New York and London|harpe
uc2.ark+=13960=t2z31nv6d,1903,Tom Johnson,"Rogers, Robert L",,New York;F. T. Neely;c190
umn.31951000888300t,1931,The yellow shop,"Field, Rachel",us,"Garden City, N.Y.|Doubled"
uc1.$b104462,1941,"Corporal cat, | the story of a German parachute soldier, | $c: by Martin Flavin","Flavin, Martin,",nyu,New York|and London|Harper & brothers|c1941
pst.000046236876,1983,The secret staircase,"Barklem, Jill",uk ,"New York|Atheneum Books, "
nc01.ark:/13960/t7hq4034d,1900,The house behind the cedars / by Charles W. Chesnutt.,"Chesnutt, Charles W. 1858-1932.",pau,"Houghton, Mifflin, 1901."
uc1.b4929953,1982,Contemporary Russian prose / | $c: edited by Carl & Ellendea Proffer.,,miu,"Ann Arbor, MI|Ardis Publishers|c1982."
uc2.ark:/13960/t0zp3w43h,1896,Frank Merriwell's chums / by Burt L. Standish [i.e. G. Patten],"Standish, Burt L., 1866-1945.",inu,"D. McKay, 1902."
mdp.39015013302651,1988,Moustapha's eclipse / | $c: Reginald McKnight.,"McKnight, Reginald,",pau,Pittsburgh|University of Pittsburgh Press|c1988.
mdp.39015048898061,1977,A woman like that / | $c: Susan Richards Shreve.,"Shreve, Susan Richards.",nyu,New York|Atheneum|1977.
uc2.ark+=13960=t8x923k22,1913,The German classics of the nineteenth and twentieth centuries,,,Albany;J.B. Lyon;c1913-c1
uc2.ark:/13960/t8qb9zg7m,1915,"The founding of a nation : the story of the Pilgrim fathers, their voyage on the Mayflower, their early struggles, hardships and dangers, and the beginnings of American democracy, as told in the journals of Francis Beaumont, cavalier / by Frank M. Gregg...","Gregg, Frank M. 1864-1937",nyu,"The Arthur H. Clark company, 1915."
coo.31924003818675,1985,It's a cat's life : true stories with practical help for your cat from birth to old age,"Frazier, Anitra",,New York|Beaufort Books|c
mdp.39015031598389,1964,The Wapshot scandal,"Cheever, John",us,New York|Harper & Row|c19
mdp.39015031598389,1964,The Wapshot scandal,"Cheever, John",us,New York|Harper & Row|c19
uc1.b4095316,1955,Maybe I'm dead.,"Klaas, Joe.",nyu,New York|Macmillan|1955.
uc1.$b104181,1959,"Five miles from Candia, | $c: by Althea Urn [pseud.","Ford, Consuelo Urisarri,",nyu,New York|Holt|1959
nnc1.1002185504,1903,Raiding with Morgan,"Dunn, Byron A. (Byron Archibald)",us,Chicago;A. C. McClurg & c
pst.000007801778,1960,The cozy hour storybook,"Kramer, Nora",us,New York|Random House|c19
uc1.32106008517846,1982,"Goodbye, Mickey Mouse / | $c: Len Deighton.","Deighton, Len,",nyu,New York|Knopf|Distributed by Random House|1982.
uc2.ark:/13960/t6g165g4p,1888,The legacy of Cain : a novel.,"Collins, Wilkie, 1824-1889.",ctu,"P. F. Collier, [1900?]"
wu.89052490638,1927,The Hitchcock edition of Somerville and Ross.,"Somerville, E. ≈í. (Edith ≈ínone),",nyu,New York|Derrydale Press|1927.
uc1.32106005276909,1981,World's spring,,ru,New York|Macmillan|c1981.
wu.89099752115,1909,Granite,"Henham, Ernest G. (Ernest George)",uk,"London;A. Rivers, ltd.;19"
mdp.39076006981612,1957,Houseboat girl,"Lenski, Lois",us,Philadelphia|Lippincott|1
mdp.39015021968543,1929,The half pint flask | $c: [by] Du Bose Heyward.,"Heyward, DuBose,",nyu,"New York|Farrar & Rinehart, inc.|1929."
uc1.b3460299,1985,The day before yesterday : six stories,"Winter, L�on de",ne,New York|Vehicle Editions
uc2.ark+=13960=t5m904803,1901,The crisis,"Churchill, Winston, Sir",,New York;The Macmillan co
njp.32101074760438,1902,"Outdoorland, a story for children","Chambers, Robert W. (Robert William)",,New York;and London;Harpe
uc1.b3460490,1966,"The Roman; | the memoirs of Minutus Lausus Manilianus, who has won the insignia of a triumph, who has the rank of Consul, who is chairman of the Priests' Collegium of the God Vespasian and a member of the Roman Senate | $c: [by] Mika Waltari. English version by Joan Tate.","Waltari, Mika,",nyu,New York|G. P. Putnam's Sons|1966
uc2.ark:/13960/t01z43z02,1894,"In furthest Ind : the narrative of Mr. Edward Carlyon of the Honourable East India Company's service / ed. with a few explanatory notes by Sydney C. Grier [i.e., H. C. Gregg].","Grier, Sydney C., 1868-1933.",nyu,"W. Blackwood, 1904."
uc1.$b106428,1949,"The man who invented sin, and other stories.","O'Faolain, Sean,",nyu,"New York|Devin-Adair Co.|1949,c1948."
mdp.39015024077201,1971,A woman in the house,"Barrett, William E.  (William Edmund)",us,"Garden City, N.Y.|Doubled"
uc2.ark+=13960=t21c1w684,1912,All the world to nothing,"Martyn, Wyndham",uk,"Boston;Little, Brown, and"
mdp.39015016580832,1925,"The tale of Genji: | a novel in four parts,","Murasaki Shikibu,",nyu,New York|The Literary guild|1935.
mdp.39015035383887,1932,Dr. Thondyke's discovery,"Freeman, R. Austin (Richard Austin)",uk,"New York|Dodd, Mead & com"
uc1.b3687202,1951,The sadness in Lexington Avenue,"Brinig, Myron",us,New York|Rinehart|1951
uc1.b4362506,1982,Bone of my bones,"Wilkinson, Sylvia",us,"New York, N.Y.|Putnam|c19"
mdp.39015029900688,1992,"Trials, tribulations, and celebrations : African-American perspectives on health, illness, aging, and loss",,,"Yarmouth, ME|Intercultura"
pst.000007302602,1927,The man who was born again : a romance,"Busson, Paul",aus,"London|W. Heinemann, ltd."
mdp.39015077669524,2008,"AmaZulu : being the many divers adventures of the Induna & the boy among the People of the Sky in the time of Shaka kaSenzangakhona, King of Kings","Golightly, Walton",sa,London|Quercus|2008.
mdp.39015017639165,1984,Earthly purposes / | $c: Jay Meek.,"Meek, Jay.",pau,Pittsburgh|Carnegie-Mellon University Press|London|Feffer and Simons|1984.
uc2.ark:/13960/t2k64c74t,1913,"Sheila intervenes, by Stephen McKenna ...","McKenna, Stephen, 1888-",nyu,"George H. Doran Company, [1920]"
uc2.ark:/13960/t1td9pr9j,1910,"The torch of reason; or, Humanity's god.","[Berry, Frederick Forrest]",nyu,"The Torch of Reason, publishers, 1912."
uc1.$b136780,1948,Stokers' mess;,"Skouen, Arne",no,New York|A. A. Knopf|1948
pst.000012674534,1970,The steel crocodile / | $c: D.G. Compton.,"Compton, D. G. (David Guy),",nyu,New York|Pocket Books|1980.
mdp.39015013962207,1925,Mrs. Dalloway | $c: [by Virginia Woolf],"Woolf, Virginia,",nyu,"New York|Harcourt, Brace|1925."
uc1.$b105320,1961,Daishi-san : | a novel / | $c: by Robert Lund.,"Lund, Robert,",nyu,New York|John Day Co.|1961.
uc1.b4091440,1935,The President's mystery story,,,New York|Farrar & Rinehar
mdp.39015063919974,1930,"All our yesterdays, | $c: by H. M. Tomlinson.","(Henry Major), Tomlinson, H. M.",nyu,New York|Grosset & Dunlap|c1930
inu.32000004220119,1934,Myths of the Carrier Indians of British Columbia ...,"Jenness, Diamond,",mau,Boston|1934
uc1.32106002176599,1977,It's OK if you don't love me,"Klein, Norma",us,New York|Dial Press|c1977
uc1.b3346167,1948,Our gifted son,"Baker, Dorothy",us,Boston|Houghton Mifflin C
nnc1.1000018538,1903,The spoilsmen,"Flower, Elliott",,Boston;L. C. Page & compa
uc2.ark:/13960/t1dj58m9x,1906,"The lady of the decoration, by Frances Little [pseud.]","Macaulay, Fannie (Caldwell), Mrs., 1863-",nyu,"The Century co., 1908, c1906."
coo.31924084209125,1883,Romantic stories of the legal profession.,"Francillon, R. E. (Robert Edward),",cou,"Littleton, Colo.|F.B. Rothman|1996."
inu.30000006646032,1959,The Complete short stories of Nathaniel Hawthorne.,"Hawthorne, Nathaniel,",nyu,"Garden City, N. Y.|Hanover House|c1959"
mdp.39015000550668,1971,The victims; | a novel of polygamy in modern Africa. | $c: With an introd. by Sunday O. Anozie.,"Okpewho, Isidore.",nyu,"Garden City, N.Y.|Anchor Books|1971."
uc1.$b104006,1964,The fair.,"Nathan, Robert,",nyu,New York|A. A. Knopf|1964.
mdp.39015025040398,1972,The John Collier reader.,"Collier, John,",nyu,New York|Knopf|1972.
mdp.39015045699348,1998,How the dead live / | $c: stories by Alvin Greenberg.,"Greenberg, Alvin.",mnu,Minnesota|Graywolf Press|c1998.
uc2.ark+=13960=t79s1sv30,1910,The marriage of Loti (Rarahu),"Loti, Pierre",fr,London;Laurie;191-?
uc1.b4087803,1973,The gifts of the child Christ; | fairytales and stories for the childlike. | $c: Edited by Glenn Edward Sadler.,"MacDonald, George,",miu,"Grand Rapids, Mich.|W. B. Eerdmans Pub. Co.|1973"
uc1.b3872973,1934,The power to kill,"Hichens, Robert Smythe,",nyu,"Garden City, N.Y.|Doubleday, Doran & Co.|1936[1934"
mdp.39015063959400,1948,"Death of an author, | $c: by John Rhode [pseud.]","Street, Cecil J. C. (Cecil John Charles),",nyu,"New York|Dodd, Mead|1948."
uc1.b4451814,1981,Shaitan : a novel,"Ehrlich, Max",us,New York|Arbor House|c198
mdp.39015029146803,1961,Three score and ten,"Thirkell, Angela",au,London|H. Hamilton|1961
mdp.39015046378827,1970,This perfect day; | a novel.,"Levin, Ira,",nyu,New York|Random House|1970
mdp.39015029714352,1937,The wound and the scar; selected stories,"Rotor, Arturo B (Arturo Belleza)",ph,Manila|Philippine Book Gu
mdp.39015042099278,1961,Always in August,"Head, Ann",us,"Garden City, N.Y.|Doubled"
uc1.b3435555,1970,The daughter,"Blackstock, Charity",uk,New York|Coward-McCann|19
uc2.ark:/13960/t3cz35275,1917,"The green mirror; a quiet story, by Hugh Walpole.","Walpole, Hugh, 1884-1941.",nyu,Grosset & Dunlap [c1917]
uc1.32106016252030,1969,"The chosen place, the timeless people / | $c: Paule Marshall.","Marshall, Paule,",nyu,"New York|Vintage Books|1992, c1969."
uc1.$b52714,1916,"The further side of silence | $c: [by] Sir Hugh Clifford, illustrated by Mahlon Blaine.","Clifford, Hugh Charles, Sir,",nyu,"Garden City, N.Y.|Doubleday, Page & company|c1927"
mdp.39015014430824,1988,Playing with shadows / | $c: Gloria Whelan.,"Whelan, Gloria.",ilu,Urbana|University of Illinois Press|c1988.
uc1.b4358736,1982,5 good boys,"Rutman, Leo",us,New York|Viking Press|198
uc2.ark:/13960/t2q52fh5v,1905,"The white darkness, and other stories of the great Northwest, by Lawrence Mott ... illustrated by Frank E. Schoonover and Cyrus Cuneo.","Mott, Lawrence, 1881-1931.",nyu,"The Outing Publishing Company, 1907."
mdp.39015067875818,1913,"Old Man River, the memories of Captain Louis Rosché, pioneer steamboatman","Hereford, Robert A",,"Caldwell, Id.;The Caxton "
mdp.39015000540578,1938,"Mr. Despondency's daughter, | $c: by Anne Parrish.","Parrish, Anne,",nyu,New York|London|Harper & Brothers|1938.
uc2.ark:/13960/t3610wg0v,1882,"Facing death : or the hero of the Vaughan Pit, a tale of the coal mines / by G. A. Henty.","Henty, G. A. 1832-1902.",cou,"Hurst & Company, [1900?]"
uc1.b4973166,1987,Life in the land of the living / | $c: by Daniel Vilmure.,"Vilmure, Daniel.",nyu,New York|Knopf|1987.
uc2.ark:/13960/t16m34x6x,1893,"The country school, by Clifton Johnson; with illustrations by the author.","Johnson, Clifton, 1865-1940.",nyu,T. Y. Crowell & Co. [1907]
uc1.$b312398,1924,"Proud flesh, | $c: by Lawrence Rising","Rising, Lawrence",nyu,New York|Boni and Liveright|c1924
uc2.ark:/13960/t6057f54c,1918,Atlantic narratives; modern short stories; ed. with an introduction by Charles Swain Thomas ...,,nyu,The Atlantic Monthly Press [1918]
uc1.b3346770,1954,"The big ball of wax; a story of tomorrow's happy world, a novel","Mead, Shepherd",us,New York|Simon and Schust
mdp.39015000693922,1950,The town / | $c: by Conrad Richter.,"Richter, Conrad,",nyu,New York|Alfred A. Knopf|1950.
nyp.33433068244239,1906,The joyous miracle,"Norris, Frank",us,"New York;Doubleday, Page;"
uc1.$b243695,1933,Fire! (The fifties,"Mitchell, Ruth Comfort",us,New York|London|D. Applet
uc1.b3189834,1963,The little riders,"Shemin, Margaretha",,Coward-McCann|1963
mdp.39076002365158,1925,Quinby and son / | $c: by William Heyliger.,"Heyliger, William,",nyu,New York|Appleton|c1925.
osu.32435067907899,1940,Percentage girl,"Williams, Wright",,New York|Phoenix Press Pu
uc1.32106009609949,1988,To monkey jungle,"Dabydeen, Cyril",ca,"London, Ont.|Third Eye|19"
uc1.$b105921,1937,The tree has roots / | $c: by Mary Jane Ward.,"Ward, Mary Jane,",nyu,New York|E. P. Dutton & co.|1937.
nyp.33433075723134,1810,"The houses of Osma and Almeria; or, Convent of St. Ildefonso. A tale","Roche, Regina Maria",uk,Philadelphia;Published by
uc2.ark:/13960/t9s17v80b,1900,"The making of a statesman, and other stories, by Joel Chandler Harris.","Harris, Joel Chandler, 1848-1908.",nyu,"McClure, Phillips & co., 1902."
mdp.39015047534873,1999,When angels sing : | a Christmas story / | $c: by Turk Pipkin.,"Pipkin, Turk.",ncu,"Chapel Hill, N.C.|Algonquin Books of Chapel Hill|1999."
mdp.39015080862744,2009,Designs for a happy home,"Reynolds, Matthew",,London|New York|Bloomsbur
uc2.ark+=13960=t6n011r00,1918,At his country's call,"Lee, Albert",,New York;F.H. Revell;c191
mdp.39015004151679,1970,Down all the days.,"Brown, Christy,",nyu,New York|Stein and Day|1970
uiuo.ark+=13960=t0dv1sx9g,1865,God's providence house,"Banks, G. Linnaeus (George Linnaeus), Mrs",uk,London;R. Bentley;1865.
mdp.39015016441019,1952,The master of the house,"Hall, Radclyffe",uk,London|Falcon Press|1952
uc1.$b803582,1943,There was no yesterday,"Winser, David Michael de Reuda",uk,London|Eyre & Spottiswood
uc1.b3121959,1941,"We follow the western trail, | $c: by Ruth Wheeler; photographs by H. D. and Ruth Wheeler.","Wheeler, Ruth Lellah Carr,",nyu,New York|The Macmillan company|1941.
mdp.39015045678250,1874,Far from the madding crowd / | $c: Thomas Hardy.,"Hardy, Thomas,",nyu,New York|Doubleday|1998.
uc2.ark:/13960/t6834004d,1857,Guy Livingstone / by G. A. Lawrence ; with an introduction by E. A. Baker.,"Lawrence, George A. 1827-1876.",nyu,"G. Routledge ; Dutton, 1903."
mdp.39076002656721,1924,Persimmon Jim : the 'possum,"Lippincott, Joseph Wharton",us,Philadelphia|Penn Pub. Co
uc2.ark+=13960=t7zk58f5q,1883,Whom Kathie married,"Douglas, Amanda Minnie",us,Boston;Lee and Shepard;Ne
mdp.39076006238690,1850,The scarlet letter. | $c: Edited with an introd. and notes by Harry Levin.,"Hawthorne, Nathaniel,",mau,Boston|Houghton Mifflin|1960
uc1.$b320504,1939,"The living thoughts of Tolstoi, | $c: presented by Stefan Zweig.","Tolstoy, Leo, graf,",nyu,"New York|Toronto|Longmans, Green and Co.|1939."
wu.89086150232,1950,Lady on the hunt. | $c: With drawings by R.J. Davidson.,"Calkins, Clinch.",nyu,New York|Harper|1950
uc1.$b101743,1948,Late have I loved thee,"Mannin, Ethel",uk,New York|G. P. Putnam|194
uc1.$b395706,1956,"The crossing,","Reverzy, Jean,",nyu,New York|Pantheon|1956
mdp.39015052543298,1978,The road to Corlay / | $c: Richard Cowper.,"Cowper, Richard,",nyu,New York|Pocket Books|c1978.
uc1.b4445390,1936,"A world I never made,","Farrell, James T. (James Thomas),",nyu,New York|The Vanguard press|c1936
uc1.$b787244,1940,"The pool of Vishnu, | $c: by L. H. Myers.","Myers, L. H. (Leopold Hamilton),",nyu,"New York|Harcourt, Brace and company|c1940"
uc2.ark:/13960/t3kw59b2x,1911,Horacio : a tale of Brazil / by R. W. Fenn.,"Fenn, R. W. 1867-",pau,"American Tract Society, 1913."
hvd.hnnzn9,1833,Fitzgeorge; a novel,,uk,Philadelphia;E.L. Carey &
mdp.39015059719289,1933,"Jonathan Bishop, | a novel, | $c: by Herbert Gorman.","Gorman, Herbert Sherman,",nyu,New York|Farrar & Rinehart|c1933
mdp.39015069746959,1977,Suckin' truckin' studs / | $c: Lonnie Colson.,"Colson, Lonnie.",cau,"Santee, Calif.|Surree Limited|c1977."
uc2.ark+=13960=t1ng4gw8m,1916,The old blood,"Palmer, Frederick",us,New York;A.L. Burt Co.;19
mdp.39015048903655,1979,The distant music of summer : | a novel / | $c: by James T. Maher.,"Maher, James T.",mau,"Boston|Little, Brown|c1979."
mdp.39015030946407,1905,"Lieut. Gullivar Jones, his vacation.","Arnold, Edwin Lester Linden,",nyu,New York|Arno Press|1975.
mdp.39015004925072,1973,The third side of the desk; how parents can change the schools,"Hess, Hannah S",,New York|Scribner|1973
uc1.$b730193,1930,"Sir Bob, | $c: by Salvador de Madariaga; illustrated by Lynd Ward.","Madariaga, Salvador de,",nyu,"New York|Harcourt, Brace and Company|c1930"
mdp.39015014606456,1987,The village of Stepanchikovo and its inhabitants : | from the notes of an unknown / | $c: Fyodor Dostoyevsky ; translated with an introduction by Ignat Avsey.,"Dostoyevsky, Fyodor,",nyu,"Ithaca, N.Y.|Cornell University Press|1987."
uc1.b3778904,1984,To bury our fathers : a novel of Nicaragua,"RamÃ­rez, Sergio",nic,"New York, NY, USA|Readers"
uc1.$b323629,1939,Some like them short,"March, William",us,"Boston|Little, Brown and "
mdp.39015030741295,1970,Be not content | [a subterranean journal | $c: by] William J. Craddock.,"Craddock, William J.",nyu,"Garden City, N.Y.|Doubleday|1970."
uc1.b4355146,1967,The crown.,"Pollini, Francis.",nyu,New York|Putnam|1967
mdp.39015025045322,1944,Time must have a stop / | $c: by Aldous Huxley ...,"Huxley, Aldous,",nyu,New York|London|Harper & Brothers|1944.
mdp.39015033991525,1994,The way things are : | a novel / | $c: by Allen Wheelis.,"Wheelis, Allen,",txu,Dallas|Baskerville Publishers|c1994.
mdp.39015002725656,1952,Giant,"Ferber, Edna",us,"Garden City, N.Y.|Doubled"
uc1.$b703967,1924,The shadow of the cross;,"Tharaud, Jean",fr,New York|A. A. Knopf|1924
coo.31924001097280,1985,Blue chips / | $c: by Herbert A. Applebaum.,"Applebaum, Herbert A.",vau,"Lawrenceville, Va.|Brunswick Pub. Co.|1985."
uc1.$b76937,1943,Fathoms below.,"Meier, Frank,",nyu,"New York|E.. P. Dutton & co., inc.|1943."
uc1.b4411178,1939,And then the harvest,"Panferov, Fedor Ivanovich",ru,London|Putnam|1939
uc1.b3543046,1947,The sleeping & the dead; | thirty uncanny tales selected | $c: by August Derleth.,"Derleth, August William,",ilu,Chicago|Pellegrini & Cudahy|1947
mdp.39015026444086,1949,"A strange metamorphosis of man, | transformed into a wildernesse. Deciphered into characters. London, 1634. | $c: Edited with an introd. and notes by Don Cameron Allen.",,mdu,Baltimore|Johns Hopkins Press|1949.
mdp.39015031232757,1975,And bid him sing : a novel,"DuBois, David Graham",us,"Palo Alto, Calif.|Rampart"
mdp.39015046379031,1920,Flappers and philosophers.,"Fitzgerald, F. Scott (Francis Scott),",nyu,New York|Scribner|1959
mdp.39015004078674,1955,"In our time, | stories.","Hemingway, Ernest,",nyu,New York|Scribner|1955.
wu.89098012495,1987,The doings of a dear little couple,"Brine, Mary D. (Mary Dow)",,London|Ernest Nister|New 
mdp.39015032428420,1994,Losing Absalom : | a novel / | $c: by Alexs D. Pate.,"Pate, Alexs D.,",mnu,Minneapolis|Coffee House Press|1994.
uc1.$b56514,1942,Novelty on earth / | $c: Margaret Duley.,"Duley, Margaret.",nyu,New York|Macmillan|1942.
njp.32101068167491,1916,Dilson's Key,Colonel,us,"Wichita, Kansas;The Golds"
uc1.b4320473,1966,The sense of fiction. | $c: Edited by Robert L. Welker [and] Herschel Gower.,"Welker, Robert Louis.",nju,"Englewood Cliffs, N.J.|Prentice-Hall|c1966"
mdp.39015012298678,1962,"The golden stag, and other folk tales from India, | $c: selected and retold by Isabel Wyatt. Illustrated by Anne Marie Jauss.","Wyatt, Isabel.",nyu,New York|D. McKay Co.|1962
uc1.$b120129,1967,"Fishes, birds, and sons of men","Ford, Jesse Hill",us,"Boston|Little, Brown|1967"
inu.39000003642282,1975,Sky man on the totem pole?,"Harris, Christie",ca,Toronto|McClelland and St
mdp.39015011095281,1986,The Daisy Ducks : | a Doc Adams suspense novel / | $c: Rick Boyer.,"Boyer, Rick.",mau,Boston|Houghton Mifflin|c1986.
mdp.39015030126505,1826,"Introduction. Reineke Fuchs (Reynard the Fox) numerous authors and editions of it. The pleasant history of Reynard the Fox Flowleglass, the merry jester. Doctor Faustus","Roscoe, Thomas (trans.)",uk,London;H. Colburn;1826.
uc1.32106013300873,1934,Burmese days; a novel,"Orwell, George",uk,"New York|Harcourt, Brace|"
mdp.39015054076024,1991,Almanac of the dead : a novel,"Silko, Leslie Marmon",us,New York|Simon & Schuster
mdp.39015000540933,1950,With sun in our blood,"Page, Myra",us,New York|Citadel Press|c1
uc1.$b243564,1950,Insurrection.,"O'Flaherty, Liam,",mau,"Boston|Little, Brown|1951."
inu.30000085374894,1999,The paper man : a novel,"Frederick, Michael",,"Tempe, AZ|M. Frederick|c1"
mdp.39015048883675,1973,Incident at La Junta,"Lange, Oliver",us,New York|Stein and Day|19
mdp.39015008299763,1966,"The time is noon; | a novel, | $c: by Pearl S. Buck.","Buck, Pearl S. (Pearl Sydenstricker),",nyu,"New York|John Day Co.|1967, c1966"
uiuo.ark+=13960=t7qn6s33c,1865,How will it end?,"Strickland, Agnes",uk,London;R. Bentley;1865.
uc1.b4463661,1981,Four roses in three acts / | $c: by Franklin Mason.,"Mason, Franklin.",nyu,New York|Fiction Collective|1981.
uc1.$b56306,1934,The red flag,"Austin, F. Britten (Frederick Britten)",uk,Philadelphia|J. B. Lippin
uc1.b3462854,1967,"Vacancy on India Street, | a novel.","Rex, Barbara.",nyu,New York|Norton|1967
mdp.39015003681452,1912,The Inn of tranquillity and other impressions. | Verses new and old.,"Galsworthy, John,",nyu,New York|C. Scribner's sons|1927.
uc1.b4464380,1984,Alive and dead in Indiana : | stories / | $c: by Michael Martone.,"Martone, Michael.",nyu,New York|Knopf|1984.
uc1.b4381449,1990,Done crabbin' : Noah leaves the river,"Byron, Gilbert",us,Baltimore|Johns Hopkins U
uc2.ark+=13960=t3ws8jc3n,1912,Arthur in shadow and sunshine,"Webb, Kate Cope",,San Francisco;R.J. Orozco
uc2.ark:/13960/t03x84h4c,1913,"The heart of the hills, by John Fox, jr.; illustrated by F. C. Yohn.","Fox, John, Jr., 1862-1919.",nyu,"C. Scribner's sons, 1913."
uc1.b3347068,1966,"The hostages, | $c: by Charles E. Israel.","Israel, Charles E.",nyu,New York.|Simon and Schuster|1966
mdp.39015013286946,1973,The barrier:,"Maugham, Robin",uk,London|New York|W. H. All
uc1.32106009785699,1991,The Incas : a novel,"Peters, Daniel",us,New York|Random House|199
uc1.$b605087,1944,Stronger than death : | short stories of the Russians at war / | $c: illustrations by Giacomo Patri.,,cau,San Francisco|American Russian Institute for Cultural Relations with the Soviet Union|1944.
mdp.39015030724721,1974,Sick and full of burning.,"Cherry, Kelly.",nyu,New York|Viking Press|1974
uc1.32106008230200,1980,Alice Dugdale : | a Victorian romance / | $c: by Anthony Trollope.,"Trollope, Anthony,",wiu,"Racine, Wis.|Caledonia Press|1980."
mdp.39015051167743,1946,A matter of love : | and other baroque tales of the provinces / | $c: by MacKinley Helm ; decorations by Federico CantuÃÅ.,"Helm, MacKinley,",nyu,New York|London|Harper & Brothers|c1946.
inu.39000001302913,1973,The Bram Stoker bedside companion : | 10 stories by the author of Dracula / | $c: edited and with an introduction by Charles Osborne.,"Stoker, Bram,",nyu,"New York|Taplinger Pub. Co.|1979, c1973."
uc2.ark:/13960/t52f7m087,1910,The adventures of Bobby Orde / by Stewart Edward White.,"White, Stewart Edward, 1873-1946.",pau,"Grosset & Dunlap, c1911."
uc1.$b301045,1945,Country mouse,"Kent, Louise Andrews",us,Boston|Houghton Mifflin|c
mdp.39015013718633,1933,"Murder at the World's fair, | $c: by Mary Plum.","Plum, Mary.",nyu,New York|London|Harper & brothers|1933.
umn.31951002102922y,1945,"Come wind, come weather","Goddard, Constance Felicity",uk,London|J. Cape|1945.
mdp.39015003922005,1961,Stranger in a strange land.,"Heinlein, Robert A. (Robert Anson),",nyu,New York|Putnam|1961
mdp.39015024371224,1931,The strange death of Martin Green.,"Ford, Leslie,",nyu,"Garden City, N.Y.|Pub. for the Crime club, inc., by doubleday, Doran & company, inc.|c1931"
mdp.39015046816164,1993,A lesson before dying / | $c: Ernest J. Gaines.,"Gaines, Ernest J.,",nyu,New York|Alfred A. Knopf|1993.
umn.319510020679349,1949,The cosmic geoids : | and one other / | $c: [by] John Taine [pseud.] ; illustrated by Lou Goldstone.,"Taine, John,",cau,"Los Angeles|Fantasy publishing co., inc.|1949."
nc01.ark:/13960/t9281fb0w,1889,The blue fairy book / edited by Andrew Lang ; with coloured frontispiece and numerous other illustrations by H.J. Ford and G.P. Jacomb Hood.,,nyu,"Longmans, Green and Co., c1920."
uc2.ark:/13960/t44q7tr4r,1822,The provost / by John Galt ; illustrated in colour by John M. Aiken.,"Galt, John, 1779-1839.",mau,"T. N. Foulis, 1913."
osu.32435050524446,1923,The romance of a rogue / | $c: by Ruby M. Ayres.,"Ayres, Ruby M. (Ruby Mildred),",nyu,New York|Grosset & Dunlap|c1923.
loc.ark:/13960/t0zp4jq3c,1832,"The Alhambra,","Irving, Washington, 1783-1859.",nyu,"Ginn & company, 1902."
uc2.ark:/13960/t83j3pg80,1907,"The stooping lady, by Maurice Hewlett.","Hewlett, Maurice Henry, 1861-1923.",pau,"Dodd, Mead and Company, 1907."
osu.32435052534187,1927,"A knight of Carolina, | $c: by A. M. Barnes.","Barnes, Annie Maria,",mau,Philadelphia|The Penn publishing company|1927.
uc1.b4082957,1932,The knife of the times : | and other stories.,"Williams, William Carlos,",nyu,"Ithaca, N.Y.|The Dragon Press|1932"
mdp.39015066052906,1940,Ask me tomorrow / | $c: James Gould Cozzens.,"Cozzens, James Gould,",nyu,"New York|Harcourt, Brace and company|c1940."
mdp.39015034251010,1995,Don't fence me in : | a novel / | $c: Douglas H. Young.,"Young, Douglas H..",mau,Boston|New Directions|1995.
uc1.$b115481,1964,The land of youth.,"Power, Richard,",nyu,New York|Dial Press|1964.
uc2.ark:/13960/t3805071m,1904,The grafters / by Francis Lynde ; illustrated by Arthur I. Keller.,"Lynde, Francis, 1856-1930.",mau,"A. Wessels Co., 1907."
mdp.39015063100369,1983,Keystone / | $c: Peter Lovesey.,"Lovesey, Peter.",nyu,New York|Pantheon Books|c1983.
uc1.b4381884,1985,Playing catch-up,"Guthrie, A. B., Jr. (Alfred Bertram)",us,Boston|Houghton Mifflin|1
uc2.ark:/13960/t6ww78j13,1888,The black arrow : a tale of two roses / by Robert Louis Stevenson ; illustrated.,"Stevenson, Robert Louis, 1850-1894.",nyu,"C. Scribner, 1914."
mdp.39015040352752,1944,The razor's edge : | a novel / | $c: by W. Somerset Maugham.,"Maugham, W. Somerset (William Somerset),",nyu,"Garden City, NY|Doubleday, Doran & Co., Inc.|1944."
mdp.39015047453298,1998,The gift of a daughter,"Humphreys, Emyr",uk,"Bridgend, Wales|Seren|199"
mdp.39015042169469,1997,The red tin roof,"Verma, Nirmal",in,Delhi|Ravi Dayal Publishe
mdp.39015018335995,1989,The chymical wedding / | $c: Lindsay Clarke.,"Clarke, Lindsay.",nyu,New York|Knopf|Distributed by Random House|1989.
